question,answer,options
walrus,:=,FALSE
trim,strip(),FALSE
After * in parameters,keyword only,FALSE
Before / in parameters,position only,FALSE
random numpy array,np.random.randn(size),FALSE
Random number,"random.randint(x,y)",FALSE
dirname,os.path.dirname(_file_),FALSE
Add flag column for if one > 2,df[flag] = df[one] > 2,FALSE
delete column,df.pop(column),FALSE
map function to flist,"map(function, flist)",FALSE
function result new column,df[functionresult] = function(df[column]),FALSE
Two columns into function,map,FALSE
Transpose data frame,df[:].T,FALSE
"multiply dataframe columns a, b by col c","df[['A', 'B']].multiply(df['C'], axis=""index"")",FALSE
TheList[1:2:3],start stop step,FALSE
matrix multiplication,df.T.dot(df),FALSE
df date col to date,"df[date] = df[date].apply(lambda x: datetime.strptime(x,”%Y-%m-%d”))",FALSE
parameters for dataset,data_vars coords,FALSE
df apply numeric,df.apply(pd.to_numeric),FALSE
date range,"pd.date_range(firstDate, date.today().strftime(“%Y-%m-%d”))",FALSE
fill in values for dates,"df.reindex(dates, fill_value=0)",FALSE
anything save for a lowercase value,[^aeiou],FALSE
Exactly 3 digits,\d{3},FALSE
3 to 5 digits,"\d{3,5}",FALSE
"rub, but not on its own",\brub\B,FALSE
pattern for number and unit, r'(?P<number>\d+) (?P<unit>\w+)',FALSE
